                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 0.8485,                0.58676,                 1.0879,                0.50841,                0.56311,                0.53465,                0.42574,                0.83639,                0.54618,                 1.0728,               0.001783,               0.001783,               0.001783
                     86,                0.84903,                0.57438,                 1.0904,                0.50062,                0.55588,                0.53551,                0.42743,                0.83649,                  0.549,                 1.0728,               0.001684,               0.001684,               0.001684
                     87,                0.83757,                0.56324,                 1.0826,                0.49265,                0.57272,                0.53369,                0.42688,                0.83502,                0.54768,                 1.0731,               0.001585,               0.001585,               0.001585
                     88,                0.82849,                0.56089,                 1.0851,                0.48931,                0.55627,                0.53246,                0.42538,                0.83745,                0.54827,                 1.0764,               0.001486,               0.001486,               0.001486
                     89,                0.82756,                0.55941,                 1.0818,                0.48953,                0.56579,                 0.5326,                0.42661,                 0.8368,                0.54831,                 1.0748,               0.001387,               0.001387,               0.001387
                     90,                0.82921,                0.55596,                 1.0766,                0.49165,                0.55019,                0.53101,                0.42515,                0.83672,                0.54477,                 1.0744,               0.001288,               0.001288,               0.001288
                     91,                0.67288,                0.35374,                0.97516,                0.50434,                0.53255,                0.53028,                0.42463,                 0.8368,                0.54367,                 1.0746,               0.001189,               0.001189,               0.001189
                     92,                0.66613,                0.34579,                0.96832,                0.52588,                0.51993,                0.52924,                0.42378,                0.83721,                0.54427,                  1.075,                0.00109,                0.00109,                0.00109
                     93,                0.65524,                0.33658,                0.96198,                   0.54,                0.51979,                0.53005,                 0.4246,                0.83764,                0.54732,                 1.0749,               0.000991,               0.000991,               0.000991
                     94,                0.65129,                0.33326,                0.96388,                 0.5437,                 0.5127,                0.52948,                0.42345,                0.83876,                0.54883,                 1.0764,               0.000892,               0.000892,               0.000892
                     95,                0.64737,                0.32674,                0.95614,                0.55817,                0.51018,                 0.5296,                0.42314,                0.83836,                0.55157,                 1.0758,               0.000793,               0.000793,               0.000793
                     96,                0.63504,                0.31713,                0.95324,                0.55375,                0.51197,                0.53047,                0.42474,                0.83979,                0.55291,                  1.077,               0.000694,               0.000694,               0.000694
                     97,                0.63423,                0.31434,                0.94763,                0.55357,                0.51201,                0.52958,                0.42349,                0.84117,                0.55566,                 1.0787,               0.000595,               0.000595,               0.000595
                     98,                0.63006,                0.31419,                0.95176,                0.55401,                0.51214,                0.52998,                0.42315,                0.84094,                0.55598,                 1.0792,               0.000496,               0.000496,               0.000496
                     99,                 0.6251,                0.30938,                0.94604,                0.55123,                0.51129,                0.53053,                0.42287,                0.84127,                0.55586,                 1.0798,               0.000397,               0.000397,               0.000397
